timestamp,tagOrigin,vidMsg,rfidMsg,rfidNum,prevRfidNum,seqNum,nullPolls,batteryStatus,match,rfidLanes
"2026-02-16, 13:51:23.686",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,6,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:24.591",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,N056683,6,0,CHARGED_BATT,V1!=R1,R_IN_L1
"2026-02-16, 13:51:24.591",RFID_L2,'EMPTY','L2_Polling1',L2_Polling,N056683,6,1,NO_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:25.496",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,N056683,7,0,CHARGED_BATT,V1!=R1,R1_IN_BOTH
"2026-02-16, 13:51:25.496",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,L2_Polling,7,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:26.400",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,N056683,8,0,CHARGED_BATT,V1!=R1,R1_IN_BOTH
"2026-02-16, 13:51:26.400",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,8,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:27.304",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,N056683,9,0,CHARGED_BATT,V1!=R1,R1_IN_BOTH
"2026-02-16, 13:51:27.304",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,9,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:28.208",RFID_L1,'EMPTY','L1_Polling0',L1_Polling,N056683,9,1,NO_BATT,V1!=R1,R_IN_L1
"2026-02-16, 13:51:28.208",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,10,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:29.112",RFID_L1,'EMPTY','L1_Polling0',L1_Polling,N056683,9,2,NO_BATT,V1!=R1,R_IN_L1
"2026-02-16, 13:51:29.112",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,11,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:30.017",RFID_L1,'EMPTY','L1_Polling0',L1_Polling,N056683,9,3,NO_BATT,V1!=R1,R_IN_L1
"2026-02-16, 13:51:30.017",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,12,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:30.923",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,13,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:31.826",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,14,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:32.728",RFID_L2,'EMPTY','L2_Polling1',L2_Polling,N056683,14,1,NO_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:33.630",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,L2_Polling,15,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:34.532",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,16,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:35.434",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,17,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:36.336",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,18,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:37.238",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,19,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:38.141",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,20,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:39.044",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,21,0,CHARGED_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:39.946",RFID_L2,'EMPTY','L2_Polling1',L2_Polling,N056683,21,1,NO_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:40.850",RFID_L2,'EMPTY','L2_Polling2',L2_Polling,N056683,21,2,NO_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:41.753",RFID_L2,'EMPTY','L2_Polling3',L2_Polling,N056683,21,3,NO_BATT,V2!=R2,R_IN_BOTH
"2026-02-16, 13:51:55.273",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,6,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:56.174",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,7,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:57.076",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,8,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:57.978",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,9,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:58.880",RFID_L2,'EMPTY','L2_Polling1',L2_Polling,N056683,9,1,NO_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:51:59.781",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,L2_Polling,10,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:52:00.683",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,11,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:52:01.585",RFID_L2,'EMPTY',"'2-BBT9876,00000000\r\n'",N056683,N056683,12,0,CHARGED_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:52:02.486",RFID_L2,'EMPTY','L2_Polling1',L2_Polling,N056683,12,1,NO_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:52:03.388",RFID_L2,'EMPTY','L2_Polling2',L2_Polling,N056683,12,2,NO_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:52:04.290",RFID_L2,'EMPTY','L2_Polling3',L2_Polling,N056683,12,3,NO_BATT,V2!=R2,R_IN_L2
"2026-02-16, 13:52:07.896",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,N056683,6,0,CHARGED_BATT,V1!=R1,R1_IN_BOTH
"2026-02-16, 13:52:08.801",RFID_L1,'EMPTY','L1_Polling0',L1_Polling,N056683,6,1,NO_BATT,V1!=R1,R1_IN_BOTH
"2026-02-16, 13:52:09.705",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,L1_Polling,7,0,CHARGED_BATT,V1!=R1,R1_IN_BOTH
"2026-02-16, 13:52:10.608",RFID_L1,'EMPTY',"'1-BBT9876,00000000\r\n'",N056683,N056683,8,0,CHARGED_BATT,V1!=R1,R_IN_L1
